exp_mode,work_iters,configured_insn_count,time_limit_ns,time_limit_us,run_number,ops_sec,avg_latency_ms,max_latency_ms,p99_latency_ms,p999_latency_ms,baseline_ops_sec,baseline_avg_latency_ms,baseline_p99_latency_ms,baseline_max_latency_ms,avg_bpf_runtime_ns,bpf_invocations,termination_hits,avg_elapsed_ns_before_termination,avg_completed_work_iters_before_termination
# Baseline (no BPF, avg of 10/10 runs): 665311.61 ops/sec, 6.16 ms avg, 16.73 ms p99, 94.98 ms max latency
termination_budgeted,150000,30463,10000,10.000,7,128242.41,32.17,288.77,73.22,99.33,665311.61,6.16,16.73,94.98,5899.79,53280858,1202102,11281.18,111146.58
termination_budgeted,150000,30463,10000,10.000,8,124678.18,32.85,150.53,81.41,108.54,665311.61,6.16,16.73,94.98,5899.79,53280858,1202102,11281.18,111146.58
termination_budgeted,150000,30463,10000,10.000,9,127486.18,32.11,268.29,76.29,108.03,665311.61,6.16,16.73,94.98,5899.79,53280858,1202102,11281.18,111146.58
termination_budgeted,150000,30463,10000,10.000,10,125364.61,32.66,256.00,75.26,97.79,665311.61,6.16,16.73,94.98,5899.79,53280858,1202102,11281.18,111146.58
termination_budgeted,200000,40629,10000,10.000,1,101108.72,40.50,278.53,83.45,114.17,665311.61,6.16,16.73,94.98,7678.53,44981150,3102597,10713.41,159894.88
termination_budgeted,200000,40629,10000,10.000,2,103221.04,39.68,280.57,78.85,103.42,665311.61,6.16,16.73,94.98,7678.53,44981150,3102597,10713.41,159894.88
termination_budgeted,200000,40629,10000,10.000,3,101204.64,40.45,292.86,88.58,114.69,665311.61,6.16,16.73,94.98,7678.53,44981150,3102597,10713.41,159894.88
termination_budgeted,200000,40629,10000,10.000,4,103849.50,39.43,303.10,86.53,120.32,665311.61,6.16,16.73,94.98,7678.53,44981150,3102597,10713.41,159894.88
termination_budgeted,200000,40629,10000,10.000,5,102249.86,40.05,321.54,82.43,113.66,665311.61,6.16,16.73,94.98,7678.53,44981150,3102597,10713.41,159894.88
termination_budgeted,200000,40629,10000,10.000,6,102472.50,39.96,276.48,86.02,113.15,665311.61,6.16,16.73,94.98,7678.53,44981150,3102597,10713.41,159894.88
termination_budgeted,200000,40629,10000,10.000,7,107858.09,37.99,280.57,82.94,114.69,665311.61,6.16,16.73,94.98,7678.53,44981150,3102597,10713.41,159894.88
termination_budgeted,200000,40629,10000,10.000,8,103885.85,39.43,286.72,79.36,106.50,665311.61,6.16,16.73,94.98,7678.53,44981150,3102597,10713.41,159894.88
termination_budgeted,200000,40629,10000,10.000,9,107435.12,38.11,282.62,78.85,105.98,665311.61,6.16,16.73,94.98,7678.53,44981150,3102597,10713.41,159894.88
termination_budgeted,200000,40629,10000,10.000,10,101725.08,40.26,266.24,88.06,118.78,665311.61,6.16,16.73,94.98,7678.53,44981150,3102597,10713.41,159894.88
termination_budgeted,250000,50795,10000,10.000,1,86172.39,47.54,305.15,94.72,113.15,665311.61,6.16,16.73,94.98,9253.92,38627434,11138398,10288.26,212384.35
termination_budgeted,250000,50795,10000,10.000,2,86313.48,47.45,323.58,94.21,113.66,665311.61,6.16,16.73,94.98,9253.92,38627434,11138398,10288.26,212384.35
termination_budgeted,250000,50795,10000,10.000,3,90913.76,44.98,294.91,92.16,110.59,665311.61,6.16,16.73,94.98,9253.92,38627434,11138398,10288.26,212384.35
termination_budgeted,250000,50795,10000,10.000,4,89720.29,45.66,305.15,91.65,109.06,665311.61,6.16,16.73,94.98,9253.92,38627434,11138398,10288.26,212384.35
termination_budgeted,250000,50795,10000,10.000,5,90627.16,45.19,301.06,95.74,124.93,665311.61,6.16,16.73,94.98,9253.92,38627434,11138398,10288.26,212384.35
termination_budgeted,250000,50795,10000,10.000,6,90977.65,45.02,284.67,92.67,115.71,665311.61,6.16,16.73,94.98,9253.92,38627434,11138398,10288.26,212384.35
termination_budgeted,250000,50795,10000,10.000,7,88997.05,45.15,288.77,94.72,119.81,665311.61,6.16,16.73,94.98,9253.92,38627434,11138398,10288.26,212384.35
termination_budgeted,250000,50795,10000,10.000,8,91344.54,44.84,305.15,93.18,118.78,665311.61,6.16,16.73,94.98,9253.92,38627434,11138398,10288.26,212384.35
termination_budgeted,250000,50795,10000,10.000,9,89848.52,45.59,319.49,94.21,114.69,665311.61,6.16,16.73,94.98,9253.92,38627434,11138398,10288.26,212384.35
termination_budgeted,250000,50795,10000,10.000,10,91112.01,44.94,301.06,91.65,118.78,665311.61,6.16,16.73,94.98,9253.92,38627434,11138398,10288.26,212384.35
termination_budgeted,300000,60935,10000,10.000,1,81403.96,50.31,329.73,97.79,124.93,665311.61,6.16,16.73,94.98,10341.45,35324484,35113110,10128.40,265359.27
termination_budgeted,300000,60935,10000,10.000,2,81539.06,50.23,286.72,98.81,117.25,665311.61,6.16,16.73,94.98,10341.45,35324484,35113110,10128.40,265359.27
termination_budgeted,300000,60935,10000,10.000,3,81238.11,50.42,327.68,100.35,128.51,665311.61,6.16,16.73,94.98,10341.45,35324484,35113110,10128.40,265359.27
termination_budgeted,300000,60935,10000,10.000,4,81226.55,50.44,299.01,98.81,127.49,665311.61,6.16,16.73,94.98,10341.45,35324484,35113110,10128.40,265359.27
termination_budgeted,300000,60935,10000,10.000,5,81455.54,50.27,319.49,100.35,129.02,665311.61,6.16,16.73,94.98,10341.45,35324484,35113110,10128.40,265359.27
termination_budgeted,300000,60935,10000,10.000,6,81386.88,50.33,309.25,99.33,123.90,665311.61,6.16,16.73,94.98,10341.45,35324484,35113110,10128.40,265359.27
termination_budgeted,300000,60935,10000,10.000,7,81869.23,50.05,315.39,95.74,125.44,665311.61,6.16,16.73,94.98,10341.45,35324484,35113110,10128.40,265359.27
termination_budgeted,300000,60935,10000,10.000,8,81446.26,50.28,317.44,98.30,127.49,665311.61,6.16,16.73,94.98,10341.45,35324484,35113110,10128.40,265359.27
termination_budgeted,300000,60935,10000,10.000,9,81508.83,50.25,313.34,98.30,125.44,665311.61,6.16,16.73,94.98,10341.45,35324484,35113110,10128.40,265359.27
termination_budgeted,300000,60935,10000,10.000,10,81249.26,50.40,311.30,97.79,124.93,665311.61,6.16,16.73,94.98,10341.45,35324484,35113110,10128.40,265359.27
termination_budgeted,350000,71101,10000,10.000,1,81674.26,50.12,299.01,97.79,126.46,665311.61,6.16,16.73,94.98,10346.73,35348466,35348469,10129.19,265544.29
termination_budgeted,350000,71101,10000,10.000,2,81109.24,50.50,303.10,99.84,119.30,665311.61,6.16,16.73,94.98,10346.73,35348466,35348469,10129.19,265544.29
