exp_mode,work_iters,configured_insn_count,time_limit_ns,time_limit_us,run_number,ops_sec,avg_latency_ms,max_latency_ms,p99_latency_ms,p999_latency_ms,baseline_ops_sec,baseline_avg_latency_ms,baseline_p99_latency_ms,baseline_max_latency_ms,avg_bpf_runtime_ns,bpf_invocations,termination_hits,avg_elapsed_ns_before_termination,avg_completed_work_iters_before_termination
# Baseline (no BPF, avg of 10/10 runs): 665311.61 ops/sec, 6.16 ms avg, 16.73 ms p99, 94.98 ms max latency
no_termination,150000,30463,0,0.000,10,228986.05,17.88,117.76,55.81,78.85,665311.61,6.16,16.73,94.98,2282.01,97142897,0,0.00,0.00
no_termination,200000,40629,0,0.000,1,192501.05,21.26,115.71,62.46,86.53,665311.61,6.16,16.73,94.98,3039.79,82536308,0,0.00,0.00
no_termination,200000,40629,0,0.000,2,191621.98,21.36,111.10,63.49,87.04,665311.61,6.16,16.73,94.98,3039.79,82536308,0,0.00,0.00
no_termination,200000,40629,0,0.000,3,193192.54,21.19,113.66,61.95,85.50,665311.61,6.16,16.73,94.98,3039.79,82536308,0,0.00,0.00
no_termination,200000,40629,0,0.000,4,190150.40,21.53,120.32,64.25,88.58,665311.61,6.16,16.73,94.98,3039.79,82536308,0,0.00,0.00
no_termination,200000,40629,0,0.000,5,200605.37,20.41,117.76,61.44,85.50,665311.61,6.16,16.73,94.98,3039.79,82536308,0,0.00,0.00
no_termination,200000,40629,0,0.000,6,208027.26,19.67,136.19,57.09,84.99,665311.61,6.16,16.73,94.98,3039.79,82536308,0,0.00,0.00
no_termination,200000,40629,0,0.000,7,193208.69,21.19,128.00,62.72,86.02,665311.61,6.16,16.73,94.98,3039.79,82536308,0,0.00,0.00
no_termination,200000,40629,0,0.000,8,191376.64,21.39,116.22,63.49,84.99,665311.61,6.16,16.73,94.98,3039.79,82536308,0,0.00,0.00
no_termination,200000,40629,0,0.000,9,220884.88,18.54,236.54,47.87,70.14,665311.61,6.16,16.73,94.98,3039.79,82536308,0,0.00,0.00
no_termination,200000,40629,0,0.000,10,194312.49,21.07,119.30,63.74,88.58,665311.61,6.16,16.73,94.98,3039.79,82536308,0,0.00,0.00
no_termination,250000,50795,0,0.000,1,165519.00,24.72,128.00,72.70,94.72,665311.61,6.16,16.73,94.98,3777.54,71123185,0,0.00,0.00
no_termination,250000,50795,0,0.000,2,165122.66,24.79,152.57,69.63,94.72,665311.61,6.16,16.73,94.98,3777.54,71123185,0,0.00,0.00
no_termination,250000,50795,0,0.000,3,178988.86,22.86,114.69,64.25,90.11,665311.61,6.16,16.73,94.98,3777.54,71123185,0,0.00,0.00
no_termination,250000,50795,0,0.000,4,174561.67,23.44,124.93,67.58,93.69,665311.61,6.16,16.73,94.98,3777.54,71123185,0,0.00,0.00
no_termination,250000,50795,0,0.000,5,169715.95,24.80,132.09,70.14,94.21,665311.61,6.16,16.73,94.98,3777.54,71123185,0,0.00,0.00
no_termination,250000,50795,0,0.000,6,175897.65,23.27,127.49,59.39,90.62,665311.61,6.16,16.73,94.98,3777.54,71123185,0,0.00,0.00
no_termination,250000,50795,0,0.000,7,165322.79,24.77,136.19,69.63,96.77,665311.61,6.16,16.73,94.98,3777.54,71123185,0,0.00,0.00
no_termination,250000,50795,0,0.000,8,175006.75,24.32,137.22,68.61,91.65,665311.61,6.16,16.73,94.98,3777.54,71123185,0,0.00,0.00
no_termination,250000,50795,0,0.000,9,172996.08,23.66,122.88,68.09,93.18,665311.61,6.16,16.73,94.98,3777.54,71123185,0,0.00,0.00
no_termination,250000,50795,0,0.000,10,165094.94,24.79,133.12,69.63,94.21,665311.61,6.16,16.73,94.98,3777.54,71123185,0,0.00,0.00
no_termination,300000,60935,0,0.000,1,151806.93,26.97,136.19,75.26,101.89,665311.61,6.16,16.73,94.98,4514.51,63702399,0,0.00,0.00
no_termination,300000,60935,0,0.000,2,157373.03,26.01,235.52,58.11,86.53,665311.61,6.16,16.73,94.98,4514.51,63702399,0,0.00,0.00
