exp_mode,work_iters,run_number,ops_sec,avg_latency_ms,max_latency_ms,p99_latency_ms,p999_latency_ms,baseline_ops_sec,baseline_avg_latency_ms,baseline_p99_latency_ms,baseline_max_latency_ms,avg_bpf_runtime_ns,bpf_invocations
# Baseline (no BPF, avg of 20/20 runs): 532744.22 ops/sec, 7.72 ms avg, 22.88 ms p99, 88.04 ms max latency
termination_immediate,350000,12,505033.94,8.11,85.50,24.06,54.53,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,350000,13,507210.31,8.44,87.55,28.03,58.88,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,350000,14,487962.48,8.39,79.87,24.70,53.25,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,350000,15,511882.16,8.00,78.85,23.93,52.99,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,350000,16,481762.44,8.53,77.82,26.62,54.27,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,350000,17,489844.47,8.36,94.72,26.62,56.06,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,350000,18,474653.96,8.62,93.18,28.16,58.88,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,350000,19,522558.61,8.04,80.38,23.93,54.78,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,350000,20,521654.00,7.85,78.33,21.89,49.92,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,1,509000.26,8.04,78.33,24.96,54.53,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,2,515901.50,7.93,75.78,24.45,53.76,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,3,524106.29,7.81,82.94,23.30,54.53,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,4,512223.97,7.99,76.80,23.81,52.48,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,5,507027.83,8.03,72.70,23.17,52.99,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,6,514177.91,7.96,94.21,23.42,53.76,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,7,519231.18,7.88,83.97,24.57,54.02,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,8,521336.70,7.85,83.97,24.57,54.53,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,9,523063.11,7.83,75.26,24.70,54.53,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,10,542458.76,7.85,91.65,23.30,52.99,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,11,521163.15,7.86,79.87,24.06,53.50,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,12,502837.73,8.14,86.53,26.24,56.06,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,13,525753.95,7.83,76.80,22.40,52.99,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,14,537079.55,7.62,88.06,20.61,49.15,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,15,530806.96,7.99,75.78,24.19,52.99,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,16,505980.99,8.09,90.11,25.34,56.32,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,17,506913.58,8.08,90.11,25.60,55.55,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,18,520526.47,7.86,74.75,22.53,53.25,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,19,508982.34,8.04,86.53,24.06,54.27,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,400000,20,479890.56,8.53,81.92,29.05,58.37,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,1,503186.34,8.13,89.60,26.24,57.09,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,2,499955.37,8.19,83.97,25.21,54.27,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,3,527043.22,7.77,77.82,23.17,54.53,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,4,502898.03,8.14,82.94,24.83,54.27,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,5,498605.18,8.21,83.97,26.50,55.81,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,6,480169.93,8.52,78.85,27.14,56.83,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,7,475855.65,8.60,83.97,28.41,57.85,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,8,484028.72,8.46,86.53,27.90,56.32,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,9,491813.56,8.32,96.25,25.34,55.04,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,10,496824.80,8.24,78.33,26.24,54.78,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,11,516483.47,7.93,80.38,23.42,54.27,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,12,506841.87,8.07,87.04,23.68,52.73,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,13,485110.89,8.44,88.06,27.14,58.88,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,14,511333.22,8.00,91.65,25.47,56.83,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,15,494700.69,8.28,83.45,26.62,57.60,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,16,520407.00,7.87,72.19,22.91,52.99,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,17,518497.67,7.90,90.11,20.86,55.55,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,18,509733.32,8.03,81.92,23.04,52.22,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,19,511950.06,8.00,87.04,24.19,54.02,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,450000,20,517466.29,7.91,84.48,22.66,53.76,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,1,510121.09,8.03,79.36,24.45,55.55,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,2,511536.81,8.00,81.41,24.70,54.02,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,3,514139.45,7.96,79.87,25.21,55.55,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,4,513843.42,7.97,87.04,24.83,55.81,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,5,501174.66,8.17,87.04,25.98,56.06,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,6,511203.36,8.01,82.94,25.47,55.55,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,7,504373.27,8.11,83.45,25.86,55.81,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,8,506332.39,8.09,85.50,24.06,52.48,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,9,510559.48,8.02,84.48,24.32,54.78,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,10,506885.60,8.08,84.48,23.55,51.71,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,11,496096.57,8.25,86.02,24.45,55.55,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,12,516540.51,7.92,88.06,23.17,53.25,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,13,497723.83,8.22,86.02,25.60,56.32,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,14,518800.34,7.89,80.38,23.81,53.76,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,15,492168.93,8.32,79.87,27.65,56.83,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,16,466750.95,8.77,89.60,27.01,56.58,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,17,481911.37,8.49,86.53,27.52,57.60,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,18,488407.06,8.38,79.87,26.88,56.06,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,19,483412.70,8.47,91.14,27.77,58.11,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,500000,20,507267.41,8.07,76.80,23.68,55.04,532744.22,7.72,22.88,88.04,0.00,0
